origin_code,destination_code,mig_count_2000,origin_name,destination_name
DZA,DZA,0,Algeria,Algeria
DZA,ARG,0,Algeria,Argentina
DZA,BRA,339,Algeria,Brazil
DZA,CHN,44,Algeria,China
DZA,CZE,330,Algeria,Czech Republic
DZA,ECU,17,Algeria,Ecuador
DZA,EGY,1695,Algeria,"Egypt, Arab Rep."
DZA,ETH,79,Algeria,Ethiopia
DZA,FIN,456,Algeria,Finland
DZA,HND,3,Algeria,Honduras
DZA,IDN,851,Algeria,Indonesia
DZA,ISR,46734,Algeria,Israel
DZA,JPN,179,Algeria,Japan
DZA,LBR,0,Algeria,Liberia
DZA,MDG,3953,Algeria,Madagascar
DZA,NZL,109,Algeria,New Zealand
DZA,PAK,303,Algeria,Pakistan
DZA,SCG,611,Algeria,Serbia and Montenegro
DZA,ESP,23269,Algeria,Spain
DZA,CHE,3959,Algeria,Switzerland
DZA,SYR,16,Algeria,Syrian Arab Republic
DZA,THA,1882,Algeria,Thailand
DZA,GBR,40555,Algeria,United Kingdom
DZA,USA,11717,Algeria,United States
ARG,DZA,0,Argentina,Algeria
ARG,ARG,0,Argentina,Argentina
ARG,BRA,27553,Argentina,Brazil
ARG,CHN,207,Argentina,China
ARG,CZE,312,Argentina,Czech Republic
ARG,ECU,2183,Argentina,Ecuador
ARG,EGY,330,Argentina,"Egypt, Arab Rep."
ARG,ETH,0,Argentina,Ethiopia
ARG,FIN,173,Argentina,Finland
ARG,HND,139,Argentina,Honduras
ARG,IDN,17,Argentina,Indonesia
ARG,ISR,36951,Argentina,Israel
ARG,JPN,3061,Argentina,Japan
ARG,LBR,0,Argentina,Liberia
ARG,MDG,3,Argentina,Madagascar
ARG,NZL,382,Argentina,New Zealand
ARG,PAK,0,Argentina,Pakistan
ARG,SCG,875,Argentina,Serbia and Montenegro
ARG,ESP,83803,Argentina,Spain
ARG,CHE,1359,Argentina,Switzerland
ARG,SYR,4,Argentina,Syrian Arab Republic
ARG,THA,594,Argentina,Thailand
ARG,GBR,10198,Argentina,United Kingdom
ARG,USA,133210,Argentina,United States
BRA,DZA,0,Brazil,Algeria
BRA,ARG,36424,Brazil,Argentina
BRA,BRA,0,Brazil,Brazil
BRA,CHN,16246,Brazil,China
BRA,CZE,116,Brazil,Czech Republic
BRA,ECU,1077,Brazil,Ecuador
BRA,EGY,141,Brazil,"Egypt, Arab Rep."
BRA,ETH,8,Brazil,Ethiopia
BRA,FIN,295,Brazil,Finland
